observation_date,INTDSRINM193N
5/1/92,12
6/1/92,12
7/1/92,12
8/1/92,12
9/1/92,12
10/1/92,12
11/1/92,12
12/1/92,12
1/1/93,12
2/1/93,12
3/1/93,12
4/1/93,12
5/1/93,12
6/1/93,12
7/1/93,12
8/1/93,12
9/1/93,12
10/1/93,12
11/1/93,12
12/1/93,12
1/1/94,12
2/1/94,12
3/1/94,12
4/1/94,12
5/1/94,12
6/1/94,12
7/1/94,12
8/1/94,12
9/1/94,12
10/1/94,12
11/1/94,12
12/1/94,12
1/1/95,12
2/1/95,12
3/1/95,12
4/1/95,12
5/1/95,12
6/1/95,12
7/1/95,12
8/1/95,12
9/1/95,12
10/1/95,12
11/1/95,12
12/1/95,12
1/1/96,12
2/1/96,12
3/1/96,12
4/1/96,12
5/1/96,12
6/1/96,12
7/1/96,12
8/1/96,12
9/1/96,12
10/1/96,12
11/1/96,12
12/1/96,12
1/1/97,12
2/1/97,12
3/1/97,12
4/1/97,11
5/1/97,11
6/1/97,10
7/1/97,10
8/1/97,10
9/1/97,10
10/1/97,9
11/1/97,9
12/1/97,9
1/1/98,11
2/1/98,11
3/1/98,10.5
4/1/98,10
5/1/98,9
6/1/98,9
7/1/98,9
8/1/98,9
9/1/98,9
10/1/98,9
11/1/98,9
12/1/98,9
1/1/99,9
2/1/99,9
3/1/99,8
4/1/99,8
5/1/99,8
6/1/99,8
7/1/99,8
8/1/99,8
9/1/99,8
10/1/99,8
11/1/99,8
12/1/99,8
1/1/00,8
2/1/00,8
3/1/00,8
4/1/00,7
5/1/00,7
6/1/00,7
7/1/00,8
8/1/00,8
9/1/00,8
10/1/00,8
11/1/00,8
12/1/00,8
1/1/01,8
2/1/01,7.5
3/1/01,7
4/1/01,7
5/1/01,7
6/1/01,7
7/1/01,7
8/1/01,7
9/1/01,7
10/1/01,6.5
11/1/01,6.5
12/1/01,6.5
1/1/02,6.5
2/1/02,6.5
3/1/02,6.5
4/1/02,6.5
5/1/02,6.5
6/1/02,6.5
7/1/02,6.5
8/1/02,6.5
9/1/02,6.5
10/1/02,6.5
11/1/02,6.25
12/1/02,6.25
1/1/03,6.25
2/1/03,6.25
3/1/03,6.25
4/1/03,6.25
5/1/03,6
6/1/03,6
7/1/03,6
8/1/03,6
9/1/03,6
10/1/03,6
11/1/03,6
12/1/03,6
1/1/04,6
2/1/04,6
3/1/04,6
4/1/04,6
5/1/04,6
6/1/04,6
7/1/04,6
8/1/04,6
9/1/04,6
10/1/04,6
11/1/04,6
12/1/04,6
1/1/05,6
2/1/05,6
3/1/05,6
4/1/05,6
5/1/05,6
6/1/05,6
7/1/05,6
8/1/05,6
9/1/05,6
10/1/05,6
11/1/05,6
12/1/05,6
1/1/06,6
2/1/06,6
3/1/06,6
4/1/06,6
5/1/06,6
6/1/06,6
7/1/06,6
8/1/06,6
9/1/06,6
10/1/06,6
11/1/06,6
12/1/06,6
1/1/07,6
2/1/07,6
3/1/07,6
4/1/07,6
5/1/07,6
6/1/07,6
7/1/07,6
8/1/07,6
9/1/07,6
10/1/07,6
11/1/07,6
12/1/07,6
1/1/08,6
2/1/08,6
3/1/08,6
4/1/08,6
5/1/08,6
6/1/08,6
7/1/08,6
8/1/08,6
9/1/08,6
10/1/08,6
11/1/08,6
12/1/08,6
1/1/09,6
2/1/09,6
3/1/09,6
4/1/09,6
5/1/09,6
6/1/09,6
7/1/09,6
8/1/09,6
9/1/09,6
10/1/09,6
11/1/09,6
12/1/09,6
1/1/10,6
2/1/10,6
3/1/10,6
4/1/10,6
5/1/10,6
6/1/10,6
7/1/10,6
8/1/10,6
9/1/10,6
10/1/10,6
11/1/10,6
12/1/10,6
1/1/11,6
2/1/11,6
3/1/11,6
4/1/11,6
5/1/11,6
6/1/11,6
7/1/11,6
8/1/11,6
9/1/11,6
10/1/11,6
11/1/11,6
12/1/11,6
1/1/12,6
2/1/12,9.5
3/1/12,9.5
4/1/12,9
5/1/12,9
6/1/12,9
7/1/12,9
8/1/12,9
9/1/12,9
10/1/12,9
11/1/12,9
12/1/12,9
1/1/13,9
2/1/13,8.75
3/1/13,8.5
4/1/13,8.5
5/1/13,8.25
6/1/13,8.25
7/1/13,10.25
8/1/13,10.25
9/1/13,9.5
10/1/13,8.75
11/1/13,8.75
12/1/13,8.75
1/1/14,9
2/1/14,9
3/1/14,9
4/1/14,9
5/1/14,9
6/1/14,9
7/1/14,9
8/1/14,9
9/1/14,9
10/1/14,9
11/1/14,9
12/1/14,9
1/1/15,8.75
2/1/15,8.75
3/1/15,8.5
4/1/15,8.5
5/1/15,8.5
6/1/15,8.25
7/1/15,8.25
8/1/15,8.25
9/1/15,8.25
10/1/15,7.75
11/1/15,7.75
12/1/15,7.75
1/1/16,7.75
2/1/16,7.75
3/1/16,7.75
4/1/16,7
5/1/16,7
6/1/16,7
7/1/16,7
8/1/16,7
9/1/16,7
10/1/16,6.75
11/1/16,6.75
12/1/16,6.75
1/1/17,6.75
2/1/17,6.75
3/1/17,6.75
4/1/17,6.5
5/1/17,6.5
6/1/17,6.5
7/1/17,6.5
8/1/17,6.25
9/1/17,6.25
10/1/17,6.25
11/1/17,6.25
12/1/17,6.25
1/1/18,6.25
2/1/18,6.25
3/1/18,6.25
4/1/18,6.25
5/1/18,6.25
6/1/18,6.5
7/1/18,6.5
8/1/18,6.75
9/1/18,6.75
10/1/18,6.75
11/1/18,6.75
12/1/18,6.75
1/1/19,6.75
2/1/19,6.5
3/1/19,6.5
4/1/19,6.25
5/1/19,6.25
6/1/19,6
7/1/19,6
8/1/19,5.65
9/1/19,5.65
10/1/19,5.4
11/1/19,5.4
12/1/19,5.4
1/1/20,5.4
2/1/20,5.4
3/1/20,4.65
4/1/20,4.65
5/1/20,4.25
6/1/20,4.25
7/1/20,4.25
8/1/20,4.25
9/1/20,4.25
10/1/20,4.25
11/1/20,4.25
12/1/20,4.25
1/1/21,4.25
2/1/21,4.25
3/1/21,4.25
4/1/21,4.25
5/1/21,4.25
6/1/21,4.25
7/1/21,4.25
8/1/21,4.25
9/1/21,4.25
10/1/21,4.25
11/1/21,4.25
12/1/21,4.25
1/1/22,4.25
2/1/22,4.25
3/1/22,4.25
4/1/22,4.25
5/1/22,4.65
6/1/22,5.15
7/1/22,5.15
